slice_id,scan_npy,mask_npy
0,temp_slices/scan_0.npy,temp_slices/mask_0.npy
1,temp_slices/scan_1.npy,temp_slices/mask_1.npy
2,temp_slices/scan_2.npy,temp_slices/mask_2.npy
3,temp_slices/scan_3.npy,temp_slices/mask_3.npy
4,temp_slices/scan_4.npy,temp_slices/mask_4.npy
5,temp_slices/scan_5.npy,temp_slices/mask_5.npy
6,temp_slices/scan_6.npy,temp_slices/mask_6.npy
7,temp_slices/scan_7.npy,temp_slices/mask_7.npy
8,temp_slices/scan_8.npy,temp_slices/mask_8.npy
9,temp_slices/scan_9.npy,temp_slices/mask_9.npy
10,temp_slices/scan_10.npy,temp_slices/mask_10.npy
11,temp_slices/scan_11.npy,temp_slices/mask_11.npy
12,temp_slices/scan_12.npy,temp_slices/mask_12.npy
13,temp_slices/scan_13.npy,temp_slices/mask_13.npy
14,temp_slices/scan_14.npy,temp_slices/mask_14.npy
15,temp_slices/scan_15.npy,temp_slices/mask_15.npy
16,temp_slices/scan_16.npy,temp_slices/mask_16.npy
17,temp_slices/scan_17.npy,temp_slices/mask_17.npy
18,temp_slices/scan_18.npy,temp_slices/mask_18.npy
19,temp_slices/scan_19.npy,temp_slices/mask_19.npy
20,temp_slices/scan_20.npy,temp_slices/mask_20.npy
21,temp_slices/scan_21.npy,temp_slices/mask_21.npy
22,temp_slices/scan_22.npy,temp_slices/mask_22.npy
23,temp_slices/scan_23.npy,temp_slices/mask_23.npy
24,temp_slices/scan_24.npy,temp_slices/mask_24.npy
25,temp_slices/scan_25.npy,temp_slices/mask_25.npy
26,temp_slices/scan_26.npy,temp_slices/mask_26.npy
27,temp_slices/scan_27.npy,temp_slices/mask_27.npy
28,temp_slices/scan_28.npy,temp_slices/mask_28.npy
29,temp_slices/scan_29.npy,temp_slices/mask_29.npy
30,temp_slices/scan_30.npy,temp_slices/mask_30.npy
31,temp_slices/scan_31.npy,temp_slices/mask_31.npy
32,temp_slices/scan_32.npy,temp_slices/mask_32.npy
33,temp_slices/scan_33.npy,temp_slices/mask_33.npy
34,temp_slices/scan_34.npy,temp_slices/mask_34.npy
35,temp_slices/scan_35.npy,temp_slices/mask_35.npy
36,temp_slices/scan_36.npy,temp_slices/mask_36.npy
37,temp_slices/scan_37.npy,temp_slices/mask_37.npy
38,temp_slices/scan_38.npy,temp_slices/mask_38.npy
39,temp_slices/scan_39.npy,temp_slices/mask_39.npy
40,temp_slices/scan_40.npy,temp_slices/mask_40.npy
41,temp_slices/scan_41.npy,temp_slices/mask_41.npy
42,temp_slices/scan_42.npy,temp_slices/mask_42.npy
43,temp_slices/scan_43.npy,temp_slices/mask_43.npy
44,temp_slices/scan_44.npy,temp_slices/mask_44.npy
45,temp_slices/scan_45.npy,temp_slices/mask_45.npy
46,temp_slices/scan_46.npy,temp_slices/mask_46.npy
47,temp_slices/scan_47.npy,temp_slices/mask_47.npy
48,temp_slices/scan_48.npy,temp_slices/mask_48.npy
49,temp_slices/scan_49.npy,temp_slices/mask_49.npy
50,temp_slices/scan_50.npy,temp_slices/mask_50.npy
51,temp_slices/scan_51.npy,temp_slices/mask_51.npy
52,temp_slices/scan_52.npy,temp_slices/mask_52.npy
53,temp_slices/scan_53.npy,temp_slices/mask_53.npy
54,temp_slices/scan_54.npy,temp_slices/mask_54.npy
55,temp_slices/scan_55.npy,temp_slices/mask_55.npy
56,temp_slices/scan_56.npy,temp_slices/mask_56.npy
57,temp_slices/scan_57.npy,temp_slices/mask_57.npy
58,temp_slices/scan_58.npy,temp_slices/mask_58.npy
59,temp_slices/scan_59.npy,temp_slices/mask_59.npy
60,temp_slices/scan_60.npy,temp_slices/mask_60.npy
61,temp_slices/scan_61.npy,temp_slices/mask_61.npy
62,temp_slices/scan_62.npy,temp_slices/mask_62.npy
63,temp_slices/scan_63.npy,temp_slices/mask_63.npy
64,temp_slices/scan_64.npy,temp_slices/mask_64.npy
65,temp_slices/scan_65.npy,temp_slices/mask_65.npy
66,temp_slices/scan_66.npy,temp_slices/mask_66.npy
67,temp_slices/scan_67.npy,temp_slices/mask_67.npy
68,temp_slices/scan_68.npy,temp_slices/mask_68.npy
69,temp_slices/scan_69.npy,temp_slices/mask_69.npy
70,temp_slices/scan_70.npy,temp_slices/mask_70.npy
71,temp_slices/scan_71.npy,temp_slices/mask_71.npy
72,temp_slices/scan_72.npy,temp_slices/mask_72.npy
73,temp_slices/scan_73.npy,temp_slices/mask_73.npy
74,temp_slices/scan_74.npy,temp_slices/mask_74.npy
75,temp_slices/scan_75.npy,temp_slices/mask_75.npy
76,temp_slices/scan_76.npy,temp_slices/mask_76.npy
77,temp_slices/scan_77.npy,temp_slices/mask_77.npy
78,temp_slices/scan_78.npy,temp_slices/mask_78.npy
79,temp_slices/scan_79.npy,temp_slices/mask_79.npy
80,temp_slices/scan_80.npy,temp_slices/mask_80.npy
81,temp_slices/scan_81.npy,temp_slices/mask_81.npy
82,temp_slices/scan_82.npy,temp_slices/mask_82.npy
83,temp_slices/scan_83.npy,temp_slices/mask_83.npy
84,temp_slices/scan_84.npy,temp_slices/mask_84.npy
85,temp_slices/scan_85.npy,temp_slices/mask_85.npy
86,temp_slices/scan_86.npy,temp_slices/mask_86.npy
87,temp_slices/scan_87.npy,temp_slices/mask_87.npy
88,temp_slices/scan_88.npy,temp_slices/mask_88.npy
89,temp_slices/scan_89.npy,temp_slices/mask_89.npy
90,temp_slices/scan_90.npy,temp_slices/mask_90.npy
91,temp_slices/scan_91.npy,temp_slices/mask_91.npy
92,temp_slices/scan_92.npy,temp_slices/mask_92.npy
93,temp_slices/scan_93.npy,temp_slices/mask_93.npy
94,temp_slices/scan_94.npy,temp_slices/mask_94.npy
95,temp_slices/scan_95.npy,temp_slices/mask_95.npy
96,temp_slices/scan_96.npy,temp_slices/mask_96.npy
97,temp_slices/scan_97.npy,temp_slices/mask_97.npy
98,temp_slices/scan_98.npy,temp_slices/mask_98.npy
99,temp_slices/scan_99.npy,temp_slices/mask_99.npy
100,temp_slices/scan_100.npy,temp_slices/mask_100.npy
101,temp_slices/scan_101.npy,temp_slices/mask_101.npy
102,temp_slices/scan_102.npy,temp_slices/mask_102.npy
103,temp_slices/scan_103.npy,temp_slices/mask_103.npy
104,temp_slices/scan_104.npy,temp_slices/mask_104.npy
105,temp_slices/scan_105.npy,temp_slices/mask_105.npy
106,temp_slices/scan_106.npy,temp_slices/mask_106.npy
107,temp_slices/scan_107.npy,temp_slices/mask_107.npy
108,temp_slices/scan_108.npy,temp_slices/mask_108.npy
109,temp_slices/scan_109.npy,temp_slices/mask_109.npy
110,temp_slices/scan_110.npy,temp_slices/mask_110.npy
111,temp_slices/scan_111.npy,temp_slices/mask_111.npy
112,temp_slices/scan_112.npy,temp_slices/mask_112.npy
113,temp_slices/scan_113.npy,temp_slices/mask_113.npy
114,temp_slices/scan_114.npy,temp_slices/mask_114.npy
115,temp_slices/scan_115.npy,temp_slices/mask_115.npy
116,temp_slices/scan_116.npy,temp_slices/mask_116.npy
117,temp_slices/scan_117.npy,temp_slices/mask_117.npy
118,temp_slices/scan_118.npy,temp_slices/mask_118.npy
119,temp_slices/scan_119.npy,temp_slices/mask_119.npy
120,temp_slices/scan_120.npy,temp_slices/mask_120.npy
121,temp_slices/scan_121.npy,temp_slices/mask_121.npy
122,temp_slices/scan_122.npy,temp_slices/mask_122.npy
123,temp_slices/scan_123.npy,temp_slices/mask_123.npy
124,temp_slices/scan_124.npy,temp_slices/mask_124.npy
125,temp_slices/scan_125.npy,temp_slices/mask_125.npy
126,temp_slices/scan_126.npy,temp_slices/mask_126.npy
127,temp_slices/scan_127.npy,temp_slices/mask_127.npy
128,temp_slices/scan_128.npy,temp_slices/mask_128.npy
129,temp_slices/scan_129.npy,temp_slices/mask_129.npy
130,temp_slices/scan_130.npy,temp_slices/mask_130.npy
131,temp_slices/scan_131.npy,temp_slices/mask_131.npy
132,temp_slices/scan_132.npy,temp_slices/mask_132.npy
133,temp_slices/scan_133.npy,temp_slices/mask_133.npy
134,temp_slices/scan_134.npy,temp_slices/mask_134.npy
135,temp_slices/scan_135.npy,temp_slices/mask_135.npy
136,temp_slices/scan_136.npy,temp_slices/mask_136.npy
137,temp_slices/scan_137.npy,temp_slices/mask_137.npy
138,temp_slices/scan_138.npy,temp_slices/mask_138.npy
139,temp_slices/scan_139.npy,temp_slices/mask_139.npy
140,temp_slices/scan_140.npy,temp_slices/mask_140.npy
141,temp_slices/scan_141.npy,temp_slices/mask_141.npy
142,temp_slices/scan_142.npy,temp_slices/mask_142.npy
143,temp_slices/scan_143.npy,temp_slices/mask_143.npy
144,temp_slices/scan_144.npy,temp_slices/mask_144.npy
145,temp_slices/scan_145.npy,temp_slices/mask_145.npy
146,temp_slices/scan_146.npy,temp_slices/mask_146.npy
147,temp_slices/scan_147.npy,temp_slices/mask_147.npy
148,temp_slices/scan_148.npy,temp_slices/mask_148.npy
149,temp_slices/scan_149.npy,temp_slices/mask_149.npy
150,temp_slices/scan_150.npy,temp_slices/mask_150.npy
151,temp_slices/scan_151.npy,temp_slices/mask_151.npy
152,temp_slices/scan_152.npy,temp_slices/mask_152.npy
153,temp_slices/scan_153.npy,temp_slices/mask_153.npy
154,temp_slices/scan_154.npy,temp_slices/mask_154.npy
155,temp_slices/scan_155.npy,temp_slices/mask_155.npy
156,temp_slices/scan_156.npy,temp_slices/mask_156.npy
157,temp_slices/scan_157.npy,temp_slices/mask_157.npy
158,temp_slices/scan_158.npy,temp_slices/mask_158.npy
159,temp_slices/scan_159.npy,temp_slices/mask_159.npy
160,temp_slices/scan_160.npy,temp_slices/mask_160.npy
161,temp_slices/scan_161.npy,temp_slices/mask_161.npy
162,temp_slices/scan_162.npy,temp_slices/mask_162.npy
163,temp_slices/scan_163.npy,temp_slices/mask_163.npy
164,temp_slices/scan_164.npy,temp_slices/mask_164.npy
165,temp_slices/scan_165.npy,temp_slices/mask_165.npy
166,temp_slices/scan_166.npy,temp_slices/mask_166.npy
167,temp_slices/scan_167.npy,temp_slices/mask_167.npy
168,temp_slices/scan_168.npy,temp_slices/mask_168.npy
169,temp_slices/scan_169.npy,temp_slices/mask_169.npy
170,temp_slices/scan_170.npy,temp_slices/mask_170.npy
171,temp_slices/scan_171.npy,temp_slices/mask_171.npy
172,temp_slices/scan_172.npy,temp_slices/mask_172.npy
173,temp_slices/scan_173.npy,temp_slices/mask_173.npy
174,temp_slices/scan_174.npy,temp_slices/mask_174.npy
175,temp_slices/scan_175.npy,temp_slices/mask_175.npy
176,temp_slices/scan_176.npy,temp_slices/mask_176.npy
177,temp_slices/scan_177.npy,temp_slices/mask_177.npy
178,temp_slices/scan_178.npy,temp_slices/mask_178.npy
179,temp_slices/scan_179.npy,temp_slices/mask_179.npy
180,temp_slices/scan_180.npy,temp_slices/mask_180.npy
181,temp_slices/scan_181.npy,temp_slices/mask_181.npy
182,temp_slices/scan_182.npy,temp_slices/mask_182.npy
183,temp_slices/scan_183.npy,temp_slices/mask_183.npy
184,temp_slices/scan_184.npy,temp_slices/mask_184.npy
185,temp_slices/scan_185.npy,temp_slices/mask_185.npy
186,temp_slices/scan_186.npy,temp_slices/mask_186.npy
187,temp_slices/scan_187.npy,temp_slices/mask_187.npy
188,temp_slices/scan_188.npy,temp_slices/mask_188.npy
189,temp_slices/scan_189.npy,temp_slices/mask_189.npy
190,temp_slices/scan_190.npy,temp_slices/mask_190.npy
191,temp_slices/scan_191.npy,temp_slices/mask_191.npy
192,temp_slices/scan_192.npy,temp_slices/mask_192.npy
193,temp_slices/scan_193.npy,temp_slices/mask_193.npy
194,temp_slices/scan_194.npy,temp_slices/mask_194.npy
195,temp_slices/scan_195.npy,temp_slices/mask_195.npy
196,temp_slices/scan_196.npy,temp_slices/mask_196.npy
197,temp_slices/scan_197.npy,temp_slices/mask_197.npy
198,temp_slices/scan_198.npy,temp_slices/mask_198.npy
199,temp_slices/scan_199.npy,temp_slices/mask_199.npy
200,temp_slices/scan_200.npy,temp_slices/mask_200.npy
201,temp_slices/scan_201.npy,temp_slices/mask_201.npy
202,temp_slices/scan_202.npy,temp_slices/mask_202.npy
203,temp_slices/scan_203.npy,temp_slices/mask_203.npy
204,temp_slices/scan_204.npy,temp_slices/mask_204.npy
205,temp_slices/scan_205.npy,temp_slices/mask_205.npy
206,temp_slices/scan_206.npy,temp_slices/mask_206.npy
207,temp_slices/scan_207.npy,temp_slices/mask_207.npy
208,temp_slices/scan_208.npy,temp_slices/mask_208.npy
209,temp_slices/scan_209.npy,temp_slices/mask_209.npy
210,temp_slices/scan_210.npy,temp_slices/mask_210.npy
211,temp_slices/scan_211.npy,temp_slices/mask_211.npy
